nome,npts,nout,minlm,mincga,medlm,medcga,maxlm,maxcga
sphere2D_49.7_-32.6_76.0_274.csv,2748,274,0.060816,0.0345363,0.07463595,0.03475755,0.1439901,0.045767
sphere2D_5.0_-8.0_167.0_312.csv,3120,312,0.0570906,0.051353,0.0689496,0.05182345,0.113492,0.0661844
sphere2D_5.7_-38.5_95.0_576.csv,5761,576,0.1519057,0.1376413,0.1730187,0.13829835,0.2148762,0.1485735
sphere2D_50.0_21.4_71.0_215.csv,2153,215,0.0358019,0.0170386,0.0434247,0.0171766,0.0872026,0.0300428
sphere2D_51.7_-48.6_25.0_68.csv,683,68,0.0081348,0.0038006,0.0089647,0.0038443,0.0364208,0.016391
sphere2D_52.0_-40.2_73.0_242.csv,2422,242,0.039687,0.0268692,0.0500605,0.0270508,0.1283495,0.0381038
sphere2D_53.5_-15.9_34.0_169.csv,1699,169,0.0252266,0.0113845,0.03271635,0.01149,0.0761638,0.0259882
sphere2D_54.7_-1.3_56.0_472.csv,4721,472,0.1431048,0.1303658,0.1612245,0.13094365,0.2016672,0.1436274
sphere2D_56.4_-5.0_86.0_234.csv,2347,234,0.0387191,0.0283347,0.0476329,0.0285022,0.1102914,0.0397756
sphere2D_57.6_33.4_142.0_194.csv,1947,194,0.0311195,0.0142439,0.0383013,0.0143885,0.0740311,0.0295624
sphere2D_58.2_49.4_94.0_445.csv,4452,445,0.1091038,0.1585311,0.1226612,0.15895355,0.1643766,0.1705415
sphere2D_58.3_-1.0_106.0_353.csv,3532,353,0.0741213,0.0730067,0.08644645,0.0734238,0.1311704,0.0888096
sphere2D_58.4_-59.8_185.0_187.csv,1871,187,0.0287992,0.0199828,0.035286,0.02012205,0.0725895,0.0341853
sphere2D_6.5_27.0_65.0_443.csv,4436,443,0.113358,0.0841787,0.1281988,0.0876973,0.1714284,0.099693
sphere2D_7.7_44.7_99.0_262.csv,2620,262,0.0465387,0.0246275,0.0560327,0.0248254,0.1219533,0.0396855
