1,2,3,4,5
line3d_-0.2_6.4_-4.0_0.csv,155,0,[0.7158378102173771 -0.6977868885587598; 0.3858178989126206 0.3643651613690938; 0.5819972322458599 0.6167102134195273; 1.8960292901025237 10.58400446066281; 0.0 0.0],reta
line3d_-10.0_0.4_-4.7_0.csv,35,0,[-0.424569441682631 -0.03698459602030446; -0.1639503507440419 0.9857877670081638; 0.8904274657040879 0.16387378702609381; 0.7907474595403983 0.7558858865470266; 0.0 0.0],reta
line3d_-10.0_1.4_10.0_0.csv,50,0,[0.6734308491382552 0.22677382662259793; -0.2233038450918351 0.9697269919498396; 0.7047171661000817 0.09057147808697784; 0.4630842985506227 10.60278021459033; 0.0 0.0],reta
line3d_-2.1_4.9_-7.0_0.csv,96,0,[0.27461542590243804 0.9313731052166923; -0.7467815896557989 0.3631725453860522; -0.6057257012935646 -0.025491982206805923; 3.305461722905779 9.83194082613842; 0.0 0.0],reta
line3d_-2.2_0.9_-3.2_0.csv,185,0,[-0.11947607357970791 0.8255593060252712; 0.931442999000281 0.28551422712921376; 0.34371413624600694 -0.48675811070990943; 6.388387275607283 0.18188458821293274; 0.0 0.0],reta
line3d_-2.3_-4.1_-5.4_0.csv,179,0,[-0.6386551400324336 0.6990516855545731; -0.45653881476304814 -0.6806909044514462; 0.6194287067329894 0.21905851620145372; 3.9526422219458626 -2.7681413057766444; 0.0 0.0],reta
line3d_-2.4_-0.4_1.0_0.csv,69,0,[-0.31794963528649 0.2544674433049673; -0.30685066273844025 -0.9390807794046117; -0.8970789821404624 0.23102729286960974; -5.297059411367002 11.32149196032391; 0.0 0.0],reta
line3d_-2.4_-5.1_-0.1_0.csv,211,0,[0.8659414096293576 -0.2625507169246467; -0.41280531050722347 0.10535023747220396; 0.28237785094825707 0.9591498571687869; -0.34969208591253453 -5.7175864729060075; 0.0 0.0],reta
line3d_-2.7_0.7_-1.4_0.csv,238,0,[-0.2020465851027562 0.4576195308512026; 0.6615298880095913 0.7157165776114914; 0.7221879151012792 -0.5275738294453387; 6.72446364782685 -10.422366157670355; 0.0 0.0],reta
line3d_-2.9_9.8_-6.2_0.csv,145,0,[0.052968554719078464 0.9686647990009687; 0.5451992745444827 0.17553417084496836; 0.8366313903070707 -0.175716425077972; -7.359894983641215 6.568031135320977; 0.0 0.0],reta
line3d_-3.0_-6.6_8.9_0.csv,151,0,[0.9497270526563834 -0.17273038518801156; -0.29682188092345607 -0.7620361249399038; 0.09957558163365532 -0.6240714368719151; 1.0596313348015118 -1.518592582404228; 0.0 0.0],reta
line3d_-3.2_-7.6_1.5_0.csv,79,0,[0.6240873406666321 0.6816770068627687; -0.396296936461995 -0.14505967952612966; -0.6733971557487368 0.7171291011320022; -0.9247097431460247 4.680198525463235; 0.0 0.0],reta
line3d_-3.5_4.8_-1.4_0.csv,215,0,[0.7943638272654276 -0.20122668362205104; 0.6021079803164244 0.13606893184256572; 0.08032490256139725 0.9700479717960829; 8.488131473189025 5.095769077029401; 0.0 0.0],reta
line3d_-4.0_9.6_5.5_0.csv,186,0,[-0.4486113816298596 0.8265184919846232; -0.5772675163243025 0.022471152680264284; 0.6822829639298635 0.5624608694875447; -6.606702917406542 6.174074956931178; 0.0 0.0],reta
line3d_-4.5_4.6_-1.4_0.csv,239,0,[0.36330637466413357 -0.633493123220461; 0.5773057411585438 -0.42244501922973887; 0.7312499978487446 0.6482489248432052; 0.24872616250417104 -5.90926217918907; 0.0 0.0],reta
line3d_-5.0_-0.2_-6.4_0.csv,293,0,[-0.3637344214942674 0.6991865912301048; -0.8778433322970175 -0.47831659213845584; 0.31159004246268596 -0.5313674325069992; -7.615744912399987 6.609991258961556; 0.0 0.0],reta
line3d_-5.0_-2.3_8.3_0.csv,46,0,[-0.7630678839638977 0.40646143180737193; -0.33443666141591033 -0.9136299782317389; -0.5530637612100789 -0.008328705143861484; 8.818033537356929 -4.89854012993064; 0.0 0.0],reta
line3d_-5.0_1.2_6.6_0.csv,144,0,[0.7929318093243788 0.11740010703916404; -0.03829435181787433 0.9889243470453603; 0.608105820051425 -0.09080666653996809; 5.387361497360948 -5.850152454106771; 0.0 0.0],reta
line3d_-5.2_0.4_4.2_0.csv,142,0,[0.2682657061947147 0.5700457845251896; 0.9321384145405058 -0.35712015950776077; 0.24321078721504805 0.7399412106500171; 3.478480804899551 -5.6729795168004795; 0.0 0.0],reta
line3d_-5.4_9.9_4.5_0.csv,133,0,[0.6788804494208787 0.5844469997148433; 0.5766675114663746 -0.049701549595184136; -0.4545062338552511 0.8099083037555275; 8.908151088015787 -2.9132016968292866; 0.0 0.0],reta
line3d_-5.9_-1.1_7.3_0.csv,83,0,[-0.2363003224997624 -0.7447327526750338; -0.9143014438113144 0.38787050913319693; -0.3289605256425979 -0.5430742078554474; -6.6890552665414535 6.874963501379935; 0.0 0.0],reta
line3d_-6.0_-5.9_-2.6_0.csv,59,0,[-0.5353309773225715 0.4991896695367013; 0.18203191626205079 -0.7195252035131406; 0.8247939901459189 0.4827972196867049; 5.285934596225319 5.767220559202295; 0.0 0.0],reta
line3d_-6.2_-8.7_-2.4_0.csv,295,0,[0.7908325856252205 -0.232318544651269; -0.5986658179277521 -0.10133594433072701; 0.12721265643883006 0.9673464323590159; -5.317873745576917 -8.239199207326351; 0.0 0.0],reta
line3d_-6.5_-2.8_-3.6_0.csv,153,0,[0.27525651981977917 -0.5043070474123091; -0.9336835337796925 0.0626177532565973; 0.22906092430916597 0.8612510777394563; -1.5366917786105527 4.476905516809627; 0.0 0.0],reta
line3d_-6.5_-7.4_0.4_0.csv,171,0,[0.18529700110400563 0.7285135992554738; -0.11016370556730504 -0.6514861028388916; 0.9764880845957835 -0.21173991949471468; -1.0943552568902108 11.332216548791113; 0.0 0.0],reta
line3d_-6.5_0.7_-7.3_0.csv,143,0,[0.7482817873118465 -0.018487132078957136; 0.0876570084292746 0.9936019805033885; -0.6575641532585385 0.11141512593557124; -1.4066982886050754 3.2398096356665596; 0.0 0.0],reta
line3d_-6.5_1.4_-4.5_0.csv,34,0,[0.5633770496038969 -0.16820449789513303; 0.501992093990993 0.847304232505224; -0.6562089892329626 0.5037685822543717; 4.778171157562539 -3.354697531163211; 0.0 0.0],reta
line3d_-6.9_-9.0_-9.1_0.csv,88,0,[0.8122076935684883 -0.3389571827678091; -0.5819386371477597 -0.5277104307886955; -0.04081770575087029 0.7788643845284745; -3.8246435419961458 0.2748498527959349; 0.0 0.0],reta
line3d_-7.2_6.0_7.8_0.csv,283,0,[0.7713614896993057 0.23696324168771732; 0.11150604821204568 0.8634099504167625; 0.6265523548922316 -0.4453893573157897; -10.126368071000794 -7.24142276311673; 0.0 0.0],reta
line3d_-7.3_6.4_5.2_0.csv,243,0,[0.7347505034810573 0.14298524310858124; 0.6256850846151014 -0.5204589859282494; 0.2620302893264941 0.841829949704641; -2.789393277337209 5.826088056203781; 0.0 0.0],reta
line3d_-7.6_5.9_-1.9_0.csv,107,0,[0.26772445438086495 -0.5725026627917494; 0.5898913462902975 -0.5385591490651569; 0.7618082541547373 0.6182190097809761; 9.676926743561916 -3.236439245681407; 0.0 0.0],reta
line3d_-8.3_-3.5_3.6_0.csv,107,0,[0.48149535812353056 0.18944681468580482; -0.2919703616927072 -0.8859202521828415; 0.8263870328112142 -0.42338541682218195; -2.2541105687358853 -2.5960422384815796; 0.0 0.0],reta
