name,npts,solution,resíduo algébrico,resíduo geométrico,gradiente algébrico,gradiente geométrico
sphere2D_-29.8_74.9_74.0_0.csv,908,"[-29.889750320158146, 74.79887081717243, 74.03940449567435]",2.2208431262321908e7,770.403270145958,[-2.3734173737466335e-7 1.244925442733802e-7 599908.4248054761],[-5.435181039107101 -3.118894684256049 41.057624454805165]
sphere2D_-3.9_74.8_49.0_0.csv,841,"[-3.9496561012486278, 74.85985662786415, 49.052504907033644]",8.5121676048529e6,680.6763411752268,[1.909011189127341e-7 1.959263727258076e-6 347063.52390666393],[0.7899601980246986 2.8548462929071583 54.14883204746566]
sphere2D_-30.2_90.2_85.0_0.csv,346,"[-30.1831780337198, 90.35332338529824, 85.07035445668596]",8.349328697580073e6,250.80025761833747,[-1.0518851922824979e-6 9.08230229246243e-7 196292.3218270055],[-1.0608289817319063 1.589320952663601 10.168560799338337]
sphere2D_-31.2_5.5_116.0_0.csv,329,"[-31.145153353711613, 5.555059562278301, 116.0400860572963]",1.784039860216224e7,262.13259296526394,[-4.451358108781278e-7 7.675543827190268e-7 307486.8212926226],[-0.5362255787725353 -1.0366295572520248 8.562699508652145]
sphere2D_-31.4_-77.1_90.0_0.csv,569,"[-31.367464997343244, -77.05971886749882, 90.07375023082771]",1.8133351942244098e7,455.7088529101396,[3.706372808665037e-7 -1.0297804919900955e-7 402633.4397264628],[0.08902136823876905 -1.796668146042948 18.613725333015367]
sphere2D_-31.6_78.5_71.0_0.csv,200,"[-31.513552864335754, 78.34984135816475, 71.02537414958888]",3.981205216354297e6,164.03661425315858,[-5.3150870371609926e-8 1.0462686930168275e-6 112106.56090170819],[0.01428537528596685 -0.24109730344069263 8.33974373071112]
sphere2D_-32.1_19.0_75.0_0.csv,152,"[-32.069589409184246, 18.98052580893745, 74.89398846430083]",3.2610966649773926e6,118.8528260580825,[-4.808680387213826e-8 1.0783423931570724e-8 87085.67221064461],[2.013237051117508 -0.33948061202264807 5.829589372291622]
sphere2D_-32.7_-64.2_107.0_0.csv,952,"[-32.70622801845937, -64.14375072490155, 106.95366016076272]",4.352131752661172e7,764.1860340106302,[3.310851752758026e-7 4.462680465167068e-7 813835.0283892683],[-0.3787392966523747 0.8211654177883916 26.675494018393152]
sphere2D_-35.2_-77.6_71.0_0.csv,194,"[-34.84156092813251, -77.51875202905345, 71.0309311075463]",3.441561604887691e6,144.63511890207081,[-3.5614357329905033e-7 4.6321656554937363e-7 96903.18150880685],[0.7522874749001929 -0.2755993655380493 7.208657461585659]
sphere2D_-35.9_-76.2_103.0_0.csv,384,"[-35.851656067261096, -76.34784540840977, 103.03573048499238]",1.699809757347535e7,321.56214935448526,[-2.9103830456733704e-11 -1.4041074223314354e-6 329945.68958612246],[0.39678218085835937 -0.36416770504745466 11.660246061341184]
sphere2D_-35.9_82.2_142.0_0.csv,512,"[-35.911825713073576, 82.24102853473637, 142.11958190598494]",4.296339294972487e7,422.5509996010894,[-2.2836029529571533e-6 1.3505684819392627e-6 604609.0534982464],[-0.4979772862275733 0.5870457447115316 11.225767239376921]
sphere2D_-36.0_-95.3_48.0_0.csv,322,"[-35.95538434964931, -95.28886288205425, 48.128238381635946]",2.558493665937699e6,241.1498799321104,[-3.1785748433321714e-7 1.0974326869472861e-6 106319.85512079581],[2.7917083224034993 -0.38395659586835684 17.217592196548566]
sphere2D_-37.7_-26.0_135.0_0.csv,638,"[-37.73222856189992, -25.955042495969625, 135.03318176725384]",4.957164533342623e7,524.0407831726457,[-2.7127680368721485e-7 -4.649211291507527e-7 734214.2825135983],[0.4252152245522476 -2.334792499841153 15.10353269228699]
sphere2D_-39.7_-50.3_26.0_0.csv,514,"[-39.716182764037, -50.318613342739326, 26.0704890588789]",1.3311072195928637e6,393.75831128771614,[-1.7535057850182056e-8 9.294672054238617e-8 102116.01451674754],[3.095865800761473 -2.3506694541954847 56.482009306191124]
sphere2D_-4.5_-78.2_126.0_0.csv,773,"[-4.485278222672953, -78.1942838733239, 126.02919959929406]",5.296880115208003e7,648.0725204532765,[1.3536591723095626e-6 2.199075382236515e-6 840579.8230959724],[1.2499847050541535 -0.7442355776630966 19.849132321531897]
sphere2D_-4.8_80.1_88.0_0.csv,19,"[-4.665330114055345, 80.56009001080861, 87.88194436053328]",358841.16503936076,12.18206895556392,[-1.4015313354320824e-8 4.053375413093363e-8 8166.436636089309],[0.05359940082842263 -0.0886904873183667 0.3967882230115265]
sphere2D_-40.8_-26.2_60.0_0.csv,678,"[-40.869642372338234, -26.163774879672598, 60.097810168890156]",1.0668228538056105e7,563.764737078277,[5.934966793574858e-7 -6.028052155215846e-7 355028.86072098295],[3.040058673822508 3.880191835291815 36.85660036108456]
sphere2D_-41.1_19.2_63.0_0.csv,78,"[-41.144757504541666, 19.089225398064755, 63.02346703337745]",1.3358822851021097e6,60.541491212333824,[4.0636223275214434e-8 4.142162879361422e-8 42393.170290064416],[-2.407055564588056 -1.4556396328725763 4.001253479321093]
sphere2D_-41.2_-38.9_69.0_0.csv,31,"[-41.115039090487166, -38.18256145870382, 68.96884203581097]",604574.5416926865,26.325622188064727,[8.636561688035727e-9 -8.257870831585024e-8 17531.816508578668],[0.16009914866678887 -0.43605628444596134 1.3844372251052164]
sphere2D_-42.7_27.6_78.0_0.csv,346,"[-42.79580195550514, 27.723912708019842, 78.00010561832165]",8.026443524316316e6,271.64835772026686,[-1.3239332474768162e-7 1.571875145600643e-7 205805.9655354332],[-2.191931918501855 1.1557596963293981 12.694647913151954]
sphere2D_-43.5_-81.8_33.0_0.csv,351,"[-43.43300549535499, -81.75389557858261, 33.04979441479518]",1.7922859242638496e6,301.10123589505537,[-1.9438084564171731e-7 2.0264235445210943e-7 108459.73211174269],[6.836089154025651 2.8097491174152798 37.32056395434005]
sphere2D_-43.8_-73.2_67.0_0.csv,477,"[-43.83745516533948, -73.20540842421491, 67.06679667007738]",9.069283135817854e6,397.6668527207482,[-1.6136618796736002e-6 -1.5686429861716533e-6 270455.2352579574],[-2.548824397270372 -0.08813436786933918 22.56384516381854]
sphere2D_-43.9_8.1_118.0_0.csv,751,"[-43.833786450843434, 8.105529356258447, 118.05400915506098]",4.048258043850325e7,592.2981106033792,[-2.5581102818250656e-6 -2.520287125662435e-6 685831.522846655],[-2.194358998528322 1.1727595197021965 18.460370992536298]
