name,npts,solution,resíduo algébrico,resíduo geométrico,gradiente algébrico,gradiente geométrico
sphere2D_-44.5_50.4_75.0_0.csv,528,"[-44.56316476407479, 50.43676134740424, 74.96619681824346]",1.2181384185422266e7,421.92004160409317,[7.350725354626775e-6 -8.297020372083352e-6 -1.7147904145531356e-5],[1.1108528997468472 -1.793495607282021 7.227467110079118]
sphere2D_-45.1_84.8_82.0_0.csv,801,"[-45.05639849333553, 84.85622822309975, 82.08099301774817]",2.1049749727715164e7,633.9576469773642,[-8.663508924655616e-5 1.2888562878288212e-5 7.661481140530668e-5],[-1.2051440566312466 -1.3438155667156322 9.512102959178065]
sphere2D_-45.4_-97.3_136.0_0.csv,347,"[-45.34337162251498, -97.07851404536241, 136.04923999015324]",2.2180409890412614e7,261.8518913789263,[-1.795648131519556e-5 -3.7736518834208255e-6 2.9510760214179754e-5],[0.2554936521869089 -0.5162250574552602 2.201673260495454]
sphere2D_-47.1_-91.6_54.0_0.csv,698,"[-47.096490790282125, -91.56574657902364, 54.00429381461766]",7.676263137308613e6,552.6754781226721,[4.1351485833729384e-5 -9.667175163485808e-6 -4.830929174204357e-5],[4.7306284600000215 -0.02981206197761374 12.188773962759441]
sphere2D_-48.2_32.9_25.0_0.csv,362,"[-48.269889003768256, 32.95728071347104, 24.976914114388784]",775480.5606668346,274.5119498468601,[-1.9874005374731496e-7 6.777955618986198e-8 2.747697180893738e-7],[0.8867516439268048 6.7842011056419675 12.490204112990689]
sphere2D_-48.7_-83.8_5.0_0.csv,745,"[-48.757266479063425, -83.75447637112586, 5.196836000065397]",81229.34723229276,610.9097986126777,[1.0121722766598396e-6 3.1598051606351873e-6 -2.7460572482596035e-7],[-33.502708569172036 21.737996202276925 147.32710538176423]
sphere2D_-49.8_-24.2_119.0_0.csv,177,"[-49.833435486383024, -24.118964041801675, 119.03598459726685]",9.381886679905865e6,138.85078238531213,[-2.2754029487259686e-6 -2.158695266984978e-8 -1.5816767700016499e-6],[-0.23864245279202967 -0.769877885438843 1.390776976026018]
sphere2D_-52.1_-95.1_18.0_0.csv,870,"[-52.10733914573666, -95.09028700678131, 18.012814153875613]",1.1338147756717382e6,693.6404224893191,[4.495452003538958e-6 -1.0047783227662421e-6 -6.390677754097851e-6],[-0.12445683837691912 17.811443933738783 48.67416548932525]
sphere2D_-52.5_37.8_129.0_0.csv,733,"[-52.504932236004684, 37.81029353267126, 129.04649522310717]",4.78480369715036e7,580.8934123181074,[-8.21778376121074e-5 -7.489053928111389e-6 2.9393835575319827e-5],[0.9908142749876281 -0.7203925857030893 5.565329594054418]
sphere2D_-53.6_-7.2_95.0_0.csv,507,"[-53.52561425395371, -7.2509220712749, 94.95925485259498]",1.695073535765346e7,388.1215691889461,[-1.1689990060403943e-6 -7.472249308193568e-7 1.3027602108195424e-6],[-1.4015818696506515 1.12816535806141 4.945669505579076]
