1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18
sphere3D_-23.9_-76.3_2.6_32.0_0.csv,50,175417.33309143913,6.165242120862375e6,6.163871769578973e6,1.0,174293.53534689444,1.5628120394245155e7,1.5624758842475446e7,1.0,268512.37804335007,389869.98901961144,388932.541421979,1.0,175201.0131633348,193030.23697278995,192986.59597268418,1.0
sphere3D_-24.1_-6.4_-18.3_68.0_0.csv,504,1.0521346893723441e7,7.262341305468786e7,7.261207495591195e7,1.0,1.2699451146312134e7,2.4569319866148278e7,2.455321502971551e7,1.0,1.0561501333106117e7,5.42414329533753e7,5.421999679270287e7,1.0,1.0468370833739467e7,1.5836323954533536e6,1.5834828879163717e6,1.0
sphere3D_-26.6_-60.5_-75.3_27.0_0.csv,471,1.3931478525528708e6,8.605741609977211e7,8.60430515119303e7,1.0,1.3865117594681238e6,1.6934422841280475e8,1.6931736006158096e8,1.0,1.3845205016796084e6,2.143847294672227e8,2.1435123123625854e8,1.0,1.384945639197974e6,2.607255642273819e6,2.6068143486403776e6,1.0
sphere3D_-27.0_5.7_-31.5_43.0_0.csv,496,3.600174647117498e6,4.161513673873974e7,4.160290092009229e7,1.0,4.414979605954129e6,317419.83093146066,246269.39995543438,1.0,3.5905605378742567e6,4.506658981507923e7,4.5052832789341375e7,1.0,2.2129330190966826e7,1.0147876945314315e6,1.0145061031765831e6,1.0
sphere3D_-27.5_-38.7_97.6_110.0_0.csv,74,2.7609333259241562e6,5.193653344867527e7,5.193373115647026e7,1.0,2.7582167556462656e6,2.3062306570582822e7,2.305940117816917e7,1.0,2.7480740452862405e6,1.2661832855136672e8,1.2661248645192714e8,1.0,1.254204327793366e7,930502.9481002514,930463.0237859352,1.0
sphere3D_-29.3_-7.9_-7.7_57.0_0.csv,618,7.33047673929638e6,7.503044509517105e7,7.50155935712154e7,1.0,8.118761347669311e6,1.9802466582885794e7,1.9786792642247487e7,1.0,7.753976461753264e6,2.3174709675706297e7,2.3144260967382133e7,1.0,7.353969153673056e6,1.5239657232295307e6,1.523736559601892e6,1.0
sphere3D_-31.7_-57.1_-78.8_90.0_0.csv,572,1.863989537592655e7,3.172771870617258e8,3.17255374496989e8,1.0,1.8595286392165996e7,4.805676697144635e8,4.805408090236588e8,1.0,1.8562117607194606e7,6.947766689341235e8,6.947380691050816e8,1.0,1.9019431463255484e7,5.659947764264065e6,5.659599574130865e6,1.0
sphere3D_-32.0_88.6_-73.2_149.0_0.csv,564,4.993589350161583e7,7.710045265031788e8,7.709783356510462e8,1.0,4.9750988854302675e7,1.0070920313665355e9,1.0070586467719902e9,1.0,4.9737119210225396e7,9.764240732144715e8,9.763761348551955e8,1.0,5.02425658293227e7,1.0839317348845663e7,1.0839064391381338e7,1.0
sphere3D_-32.8_-12.0_95.9_21.0_0.csv,983,1.8339664950944514e6,2.0697518214834058e8,2.0693984194419548e8,1.0,1.9308627060102604e6,5.6862010805628546e7,5.6850483351605445e7,1.0,1.8263123820280135e6,5.44034730344474e8,5.439439287184174e8,1.0,1.8296641685901547e6,5.475623006612159e6,5.474677331193386e6,1.0
sphere3D_-33.8_-90.6_-69.2_39.0_0.csv,598,3.8858758070686706e6,2.104308385593989e8,2.1040761044156203e8,1.0,3.8722872962206034e6,4.7648501344499123e8,4.7643519625074816e8,1.0,3.8717383260351648e6,3.8838068591690564e8,3.8834214718120295e8,1.0,3.872887893404707e6,4.854661019693291e6,4.854116601415407e6,1.0
sphere3D_-34.5_-37.6_93.5_23.0_0.csv,305,619106.2052652647,7.44862758706105e7,7.447472324320142e7,1.0,620035.2808075323,6.774291691577783e7,6.773192254099302e7,1.0,617064.1954969564,1.79899100194435e8,1.7987172676182684e8,1.0,618409.4380775564,1.8610659595622336e6,1.8607736541084936e6,1.0
sphere3D_-34.7_-27.7_52.9_37.0_0.csv,952,5.301779388220559e6,1.4503901378652796e8,1.4500503267169943e8,1.0,5.334774821052978e6,8.002162491580674e7,7.999964074021317e7,1.0,5.28790488632996e6,1.9392576422041756e8,1.9388259206993628e8,1.0,5.35101494071862e6,3.184940787041425e6,3.1841748737321817e6,1.0
sphere3D_-35.3_-92.4_-81.0_52.0_0.csv,138,1.3233968440109766e6,6.614144400714114e7,6.613572104157328e7,1.0,1.3198499689879746e6,1.4260341803374767e8,1.425920727555166e8,1.0,1.3194529771155636e6,1.348573812868842e8,1.3484722292323625e8,1.0,1.319974315738013e6,1.3695968738556423e6,1.3694767995817962e6,1.0
