name,npts,centro e raio implementados,resíduo,sol
sphere3D_-58.9_-54.1_0.2_111.0_0.csv,494,"[-58.9, -54.1, 0.2, 111.0]",2.3923972059148103e7,"[-58.907096909603474, -54.12190697768899, 0.17967802447945644, 110.92467733655278]"
sphere3D_-59.7_-7.7_7.3_29.0_0.csv,737,"[-59.7, -7.7, 7.3, 29.0]",2.477517596464069e6,"[-59.628712507623355, -7.931100936910295, 7.359667164245684, 29.03128936029354]"
sphere3D_-59.9_-27.4_-8.9_5.0_0.csv,719,"[-59.9, -27.4, -8.9, 5.0]",70885.76562531553,"[-59.996872746371025, -27.39253401076481, -8.839694387777081, 5.206266314773187]"
sphere3D_-60.8_-99.3_76.8_98.0_0.csv,54,"[-60.8, -99.3, 76.8, 98.0]",2.159293285209726e6,"[-60.88246860893173, -98.69431772901429, 76.67566683784888, 97.91527686106963]"
sphere3D_-60.9_-36.9_41.5_82.0_0.csv,185,"[-60.9, -36.9, 41.5, 82.0]",4.501054291638804e6,"[-60.952052701996905, -37.083448896573934, 41.57823340116658, 81.94437775959403]"
sphere3D_-62.9_3.6_28.5_91.0_0.csv,871,"[-62.9, 3.6, 28.5, 91.0]",3.0238095137485202e7,"[-62.882354685604454, 3.806799001991997, 28.481474681395582, 91.01654863226418]"
sphere3D_-64.1_-88.1_-28.5_89.0_0.csv,567,"[-64.1, -88.1, -28.5, 89.0]",1.6953364944208525e7,"[-64.21206834793597, -87.9129569640997, -28.605479059135572, 88.98675163813104]"
sphere3D_-64.1_10.2_-3.7_142.0_0.csv,975,"[-64.1, 10.2, -3.7, 142.0]",7.993847121728985e7,"[-63.94690189741167, 10.11822803273185, -3.744163917824241, 142.0470800966065]"
sphere3D_-65.0_-41.6_89.4_22.0_0.csv,522,"[-65.0, -41.6, 89.4, 22.0]",1.0303752573835092e6,"[-64.9887226947112, -41.5132836391525, 89.24327301809795, 22.123231195416814]"
sphere3D_-68.0_-50.9_-67.6_115.0_0.csv,14,"[-68.0, -50.9, -67.6, 115.0]",574750.9761567251,"[-67.73268742116643, -51.16995966736516, -67.30282652819473, 114.99224757251933]"
sphere3D_-68.6_-8.5_-84.0_129.0_0.csv,696,"[-68.6, -8.5, -84.0, 129.0]",4.507556514134413e7,"[-68.67827236967936, -8.456650458467278, -84.08529886365523, 129.02432748879787]"
