name,npts,centro e raio implementado,resíduo,sol
sphere3D_-39.9_-91.8_15.7_83.0_0.csv,343,"[-39.9, -91.8, 15.7, 83.0]",9.030947754535483e6,"[-40.04006041887174, -92.75429261608262, 16.23266526537999, 82.95753063564709]"
sphere3D_-4.0_-88.3_36.3_56.0_0.csv,196,"[-4.0, -88.3, 36.3, 56.0]",2.714719478309131e6,"[-4.018421632882924, -88.79612599365583, 36.50688775425478, 56.07492471242127]"
sphere3D_-40.1_-6.9_37.7_8.0_0.csv,834,"[-40.1, -6.9, 37.7, 8.0]",226754.41406851955,"[-40.41465476546938, -6.982472073800097, 37.8101122054491, 8.146005878157602]"
sphere3D_-41.6_-61.5_-17.7_86.0_0.csv,548,"[-41.6, -61.5, -17.7, 86.0]",1.7455385801253863e7,"[-41.2598417548807, -61.018148603737885, -18.00313223668518, 86.19072300306114]"
sphere3D_-42.5_-76.2_36.2_125.0_0.csv,35,"[-42.5, -76.2, 36.2, 125.0]",1.4428160430747415e6,"[-42.022146709442644, -76.00917351542971, 36.002768413032825, 125.09255111665354]"
sphere3D_-42.5_-98.0_42.8_91.0_0.csv,514,"[-42.5, -98.0, 42.8, 91.0]",1.724726630319552e7,"[-42.562822470084846, -98.3989689524131, 43.032935068020144, 90.89145145149637]"
sphere3D_-42.8_-34.4_-20.5_16.0_0.csv,743,"[-42.8, -34.4, -20.5, 16.0]",878810.8991313789,"[-43.124653868147185, -34.52574127374165, -20.414204567879114, 16.049952237762678]"
sphere3D_-42.8_-96.0_12.3_86.0_0.csv,980,"[-42.8, -96.0, 12.3, 86.0]",3.3093371424634192e7,"[-42.84372747416298, -96.52095172123069, 12.578400719806236, 85.96287470428105]"
sphere3D_-42.8_2.6_-49.1_110.0_0.csv,370,"[-42.8, 2.6, -49.1, 110.0]",1.899833904191125e7,"[-42.89532471687236, 2.3953857926210653, -48.90679536080461, 110.11638168984422]"
sphere3D_-43.4_58.1_47.2_132.0_0.csv,429,"[-43.4, 58.1, 47.2, 132.0]",2.9038255322165884e7,"[-43.38374046469652, 58.18601737082077, 47.08250893359728, 132.00849808512436]"
sphere3D_-43.6_52.0_8.9_117.0_0.csv,35,"[-43.6, 52.0, 8.9, 117.0]",2.1869121780397003e6,"[-43.59224384758845, 51.96574727830612, 8.808964088672576, 117.12071538091496]"
sphere3D_-46.2_73.9_68.3_131.0_0.csv,14,"[-46.2, 73.9, 68.3, 131.0]",870849.1636374356,"[-45.78578956013235, 74.37552344726785, 68.24308244264097, 131.19122802147322]"
sphere3D_-46.5_44.8_-35.8_11.0_0.csv,717,"[-46.5, 44.8, -35.8, 11.0]",344663.28703366563,"[-46.69748539072511, 45.04252876962358, -35.77950903076067, 11.11687745984877]"
sphere3D_-47.0_-60.2_99.1_108.0_0.csv,784,"[-47.0, -60.2, 99.1, 108.0]",4.076587687392866e7,"[-47.21712550977896, -60.620967602952426, 99.49939130136906, 107.92830499644086]"
sphere3D_-47.2_62.6_46.2_127.0_0.csv,790,"[-47.2, 62.6, 46.2, 127.0]",5.088136569642047e7,"[-47.10900018917946, 62.65688760625087, 46.19969660935301, 127.06880928844527]"
sphere3D_-47.6_-32.1_89.1_93.0_0.csv,238,"[-47.6, -32.1, 89.1, 93.0]",9.146355885611584e6,"[-48.10220525788855, -32.56013020571698, 89.46239829455868, 92.82069116584373]"
sphere3D_-48.8_14.7_5.4_62.0_0.csv,305,"[-48.8, 14.7, 5.4, 62.0]",5.638820188290303e6,"[-48.49410113918449, 14.642466317013971, 5.444568821344729, 62.22944377898052]"
sphere3D_-5.5_68.2_46.7_100.0_0.csv,79,"[-5.5, 68.2, 46.7, 100.0]",3.271117851070521e6,"[-5.6035176480624145, 68.09775452637842, 46.85275350811124, 100.19526141632305]"
sphere3D_-50.3_-36.7_61.7_83.0_0.csv,504,"[-50.3, -36.7, 61.7, 83.0]",2.1374929966277592e7,"[-51.10264660736646, -37.99252318042634, 62.72094007102911, 82.6033914490003]"
sphere3D_-51.1_-13.6_-4.9_14.0_0.csv,790,"[-51.1, -13.6, -4.9, 14.0]",633188.2093943558,"[-51.36169589772498, -13.827053202007349, -4.796806323648823, 14.009345731537337]"
