cga,lm
0.0869631,0.02134735
0.00092665,0.02134735
0.0647066,0.02134735
0.1229726,0.02134735
0.0001336,0.02134735
0.14746105,0.02134735
0.0616658,0.02134735
7.65e-5,0.02134735
0.02724285,0.02134735
0.03647795,0.02134735
0.0362921,0.02134735
0.0055852,0.02134735
0.0273107,0.02134735
0.0018325,0.02134735
0.1351079,0.02134735
0.09221905,0.02134735
0.03767745,0.02134735
0.0119028,0.02134735
0.098333,0.02134735
0.0227512,0.02134735
0.0625395,0.02134735
0.0235965,0.02134735
0.027794,0.02134735
0.0235928,0.02134735
0.0275813,0.02134735
0.053484,0.02134735
0.0683129,0.02134735
0.0225969,0.02134735
0.0478683,0.02134735
0.0075915,0.02134735
0.0282282,0.02134735
0.1060257,0.02134735
0.0023391,0.02134735
0.12292815,0.02134735
0.002944,0.02134735
0.1311952,0.02134735
0.0629622,0.02134735
0.0485578,0.02134735
0.1514006,0.02134735
0.05360225,0.02134735
0.1607764,0.02134735
0.1644212,0.02134735
0.1028022,0.02134735
0.02325435,0.02134735
0.0285421,0.02134735
0.0451703,0.02134735
0.0726466,0.02134735
0.08172225,0.02134735
0.1255712,0.02134735
0.0454656,0.02134735
0.00357965,0.02134735
0.1578533,0.02134735
0.0575907,0.02134735
0.04198815,0.02134735
0.0174191,0.02134735
0.0007314,0.02134735
0.1075738,0.02134735
0.0685996,0.02134735
0.0387403,0.02134735
0.07587675,0.02134735
0.102562,0.02134735
0.02770245,0.02134735
0.009023,0.02134735
0.1642423,0.02134735
0.1206639,0.02134735
0.0806143,0.02134735
0.0049522,0.02134735
0.01119295,0.02134735
0.0059079,0.02134735
0.0020374,0.02134735
0.0362663,0.02134735
0.0319902,0.02134735
0.1434973,0.02134735
0.0017112,0.02134735
0.0282393,0.02134735
0.01085775,0.02134735
0.1184677,0.02134735
0.0082806,0.02134735
0.0029595,0.02134735
0.0009665,0.02134735
0.0241658,0.02134735
0.0097971,0.02134735
0.0435743,0.02134735
0.0011985,0.02134735
0.0531076,0.02134735
0.0205911,0.02134735
0.0010069,0.02134735
0.014498,0.02134735
0.01713205,0.02134735
0.0374222,0.02134735
0.02160585,0.02134735
0.0010859,0.02134735
0.0082765,0.02134735
0.0581782,0.02134735
0.1777512,0.02134735
0.1693367,0.02134735
0.1486394,0.02134735
0.1312972,0.02134735
0.04798535,0.02134735
0.164917,0.02134735
0.0015604,0.02134735
0.1070832,0.02134735
0.0839688,0.02134735
0.0545389,0.02134735
0.1074681,0.02134735
0.0028984,0.02134735
0.0539744,0.02134735
0.02617045,0.02134735
0.0789728,0.02134735
0.0214562,0.02134735
0.0545257,0.02134735
0.0949697,0.02134735
9.71e-5,0.02134735
0.13336715,0.02134735
0.1016294,0.02134735
0.0854476,0.02134735
0.01531935,0.02134735
0.0040652,0.02134735
0.0191894,0.02134735
0.0837257,0.02134735
0.1484965,0.02134735
0.02287095,0.02134735
0.0100791,0.02134735
0.1031572,0.02134735
0.00296245,0.02134735
0.10011445,0.02134735
0.0070277,0.02134735
