1,npts,nout,solution,value obtained,internal it,external it,ndif,time
sphere3D_5.9_-69.0_49.3_33.0_8.csv,29,8,"[5.9, -69.0, 49.3, 33.0]","[8.84098781174023, -70.11957186779071, 52.403163900541195, -35.390652180098]",36,6,9.55437576017014,0.0001131
sphere3D_51.5_104.1_45.3_35.0_10.csv,36,10,"[51.5, 104.1, 45.3, 35.0]","[51.49999999999457, 104.10000000001905, 45.29999999998975, -34.99999999999723]",48,6,3.750244559341809e-11,0.0001643
sphere3D_54.0_102.9_118.0_83.0_5.csv,18,5,"[54.0, 102.9, 118.0, 83.0]","[54.000000000003205, 102.89999999999063, 118.00000000000664, -83.00000000000168]",43,5,2.0897061858704546e-11,0.0001077
sphere3D_57.8_15.8_-0.1_142.0_12.csv,41,12,"[57.8, 15.8, -0.1, 142.0]","[57.79999999999996, 15.799999999999768, -0.09999999999987126, 142.0]",56,6,3.9697412024253254e-13,0.00019765
sphere3D_60.4_55.4_32.7_124.0_12.csv,42,12,"[60.4, 55.4, 32.7, 124.0]","[60.40000000000002, 55.400000000000006, 32.699999999999996, 124.00000000000003]",46,5,6.394884621840902e-14,0.0001566
sphere3D_68.5_96.5_-61.4_133.0_10.csv,34,10,"[68.5, 96.5, -61.4, 133.0]","[68.50000000000001, 96.5, -61.4, -133.0]",80,5,1.4210854715202004e-14,0.0002426
sphere3D_68.8_-2.5_96.8_110.0_11.csv,38,11,"[68.8, -2.5, 96.8, 110.0]","[68.80000000000025, -2.5000000000001035, 96.80000000000004, -110.00000000000031]",56,6,7.145395386487507e-13,0.0001952
sphere3D_70.5_69.6_-76.1_85.0_12.csv,41,12,"[70.5, 69.6, -76.1, 85.0]","[63.955402736222716, 69.5251852673698, -68.35863584538063, -79.39823768091432]",43,5,19.962538470112513,0.0001509
sphere3D_75.1_117.9_75.1_143.0_6.csv,22,6,"[75.1, 117.9, 75.1, 143.0]","[75.10000000000014, 117.89999999999999, 75.1, -143.00000000000023]",37,4,3.836930773104541e-13,9.87e-5
sphere3D_78.9_-67.2_-118.2_136.0_12.csv,41,12,"[78.9, -67.2, -118.2, 136.0]","[72.60600493262281, -72.06607053438668, -101.99677083393023, -130.87317487020405]",39,4,32.4901198976296,0.0001359
